.++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++.
|                                                                                                      |
|                           Generate by Oorth [https://github.com/Oorth]                               | 
|                                      Win10 Home Single Language                                      |
|                                        10.0.19045 Build 19045                                        |
|                                                                                                      |
.++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++.

[01]	[0x00007FF80AA10900]	A_SHAFinal
[02]	[0x00007FF80AA141C0]	A_SHAInit
[03]	[0x00007FF80AA142C0]	A_SHAUpdate
[04]	[0x00007FF80AC91F80]	AlpcAdjustCompletionListConcurrencyCount
[05]	[0x00007FF80AAD5CC0]	AlpcFreeCompletionListMessage
[06]	[0x00007FF80AC92040]	AlpcGetCompletionListLastMessageInformation
[07]	[0x00007FF80AC920C0]	AlpcGetCompletionListMessageAttributes
[08]	[0x00007FF80AAD5180]	AlpcGetHeaderSize
[09]	[0x00007FF80AAD5080]	AlpcGetMessageAttribute
[10]	[0x00007FF80A952980]	AlpcGetMessageFromCompletionList
[11]	[0x00007FF80AB28E00]	AlpcGetOutstandingCompletionListMessageCount
[12]	[0x00007FF80AAD4F00]	AlpcInitializeMessageAttribute
[13]	[0x00007FF80AB23480]	AlpcMaxAllowedMessageLength
[14]	[0x00007FF80AB28800]	AlpcRegisterCompletionList
[15]	[0x00007FF80AAE8900]	AlpcRegisterCompletionListWorkerThread
[16]	[0x00007FF80AB28D00]	AlpcRundownCompletionList
[17]	[0x00007FF80AB28D80]	AlpcUnregisterCompletionList
[18]	[0x00007FF80AAE8780]	AlpcUnregisterCompletionListWorkerThread
[19]	[0x00007FF80AAEFA80]	ApiSetQueryApiSetPresence
[20]	[0x00007FF80AAB99C0]	ApiSetQueryApiSetPresenceEx
[21]	[0x00007FF80A933540]	CsrAllocateCaptureBuffer
[22]	[0x00007FF80A933400]	CsrAllocateMessagePointer
[23]	[0x00007FF80A932140]	CsrCaptureMessageBuffer
[24]	[0x00007FF80A932D00]	CsrCaptureMessageMultiUnicodeStringsInPlace
[25]	[0x00007FF80A933140]	CsrCaptureMessageString
[26]	[0x00007FF80AC3D200]	CsrCaptureTimeout
[27]	[0x00007FF80A932680]	CsrClientCallServer
[28]	[0x00007FF80A933880]	CsrClientConnectToServer
[29]	[0x00007FF80A9325C0]	CsrFreeCaptureBuffer
[30]	[0x00007FF80AC3D2C0]	CsrGetProcessId
[31]	[0x00007FF80AB21EC0]	CsrIdentifyAlertableThread
[32]	[0x00007FF80AC64CC0]	CsrSetPriorityClass
[33]	[0x00007FF80AC3D340]	CsrVerifyRegion
[34]	[0x00007FF80AB94080]	DbgBreakPoint
[35]	[0x00007FF80AA56B00]	DbgPrint
[36]	[0x00007FF80AA55140]	DbgPrintEx
[37]	[0x00007FF80AC921C0]	DbgPrintReturnControlC
[38]	[0x00007FF80AC92300]	DbgPrompt
[39]	[0x00007FF80AC92440]	DbgQueryDebugFilterState
[40]	[0x00007FF80AC92480]	DbgSetDebugFilterState
[41]	[0x00007FF80AC41740]	DbgUiConnectToDbg
[42]	[0x00007FF80AC41900]	DbgUiContinue
[43]	[0x00007FF80AC419C0]	DbgUiConvertStateChangeStructure
[44]	[0x00007FF80AC41A00]	DbgUiConvertStateChangeStructureEx
[45]	[0x00007FF80AC424C0]	DbgUiDebugActiveProcess
[46]	[0x00007FF80AC42680]	DbgUiGetThreadDebugObject
[47]	[0x00007FF80AC42700]	DbgUiIssueRemoteBreakin
[48]	[0x00007FF80AC428C0]	DbgUiRemoteBreakin
[49]	[0x00007FF80AC42A40]	DbgUiSetThreadDebugObject
[50]	[0x00007FF80AC42AC0]	DbgUiStopDebugging
[51]	[0x00007FF80AC42B40]	DbgUiWaitStateChange
[52]	[0x00007FF80AB940C0]	DbgUserBreakPoint
[53]	[0x00007FF80AB285C0]	EtwCheckCoverage
[54]	[0x00007FF80AD52380]	EtwCreateTraceInstanceId
[55]	[0x00007FF80AA24AC0]	EtwDeliverDataBlock
[56]	[0x00007FF80AD51300]	EtwEnumerateProcessRegGuids
[57]	[0x00007FF80AA82F80]	EtwEventActivityIdControl
[58]	[0x00007FF80AA576C0]	EtwEventEnabled
[59]	[0x00007FF80AAE6A80]	EtwEventProviderEnabled
[60]	[0x00007FF80AA1BA00]	EtwEventRegister
[61]	[0x00007FF80AA1ABC0]	EtwEventSetInformation
[62]	[0x00007FF80AA55380]	EtwEventUnregister
[63]	[0x00007FF80AA50C00]	EtwEventWrite
[64]	[0x00007FF80AA4F4C0]	EtwEventWriteEndScenario
[65]	[0x00007FF80AA50AC0]	EtwEventWriteEx
[66]	[0x00007FF80AA50980]	EtwEventWriteFull
[67]	[0x00007FF80AA97A80]	EtwEventWriteNoRegistration
[68]	[0x00007FF80AB38F40]	EtwEventWriteStartScenario
[69]	[0x00007FF80AD51700]	EtwEventWriteString
[70]	[0x00007FF80AA50D00]	EtwEventWriteTransfer
[71]	[0x00007FF80AB175C0]	EtwGetTraceEnableFlags
[72]	[0x00007FF80AB174C0]	EtwGetTraceEnableLevel
[73]	[0x00007FF80AB173C0]	EtwGetTraceLoggerHandle
[74]	[0x00007FF80AA53280]	EtwLogTraceEvent
[75]	[0x00007FF80AA1C100]	EtwNotificationRegister
[76]	[0x00007FF80AA553C0]	EtwNotificationUnregister
[77]	[0x00007FF80AA36BC0]	EtwProcessPrivateLoggerRequest
[78]	[0x00007FF80AB415C0]	EtwRegisterSecurityProvider
[79]	[0x00007FF80AB260C0]	EtwRegisterTraceGuidsA
[80]	[0x00007FF80AA1A840]	EtwRegisterTraceGuidsW
[81]	[0x00007FF80A916680]	EtwReplyNotification
[82]	[0x00007FF80AA55A40]	EtwSendNotification
[83]	[0x00007FF80AB3BA40]	EtwSetMark
[84]	[0x00007FF80AD52500]	EtwTraceEventInstance
[85]	[0x00007FF80AA55F00]	EtwTraceMessage
[86]	[0x00007FF80AA55FC0]	EtwTraceMessageVa
[87]	[0x00007FF80AA55240]	EtwUnregisterTraceGuids
[88]	[0x00007FF80AB02300]	EtwWriteUMSecurityEvent
[89]	[0x00007FF80AA31C40]	EtwpCreateEtwThread
[90]	[0x00007FF80AA37780]	EtwpGetCpuSpeed
[91]	[0x00007FF80AD56280]	EvtIntReportAuthzEventAndSourceAsync
[92]	[0x00007FF80AA4F880]	EvtIntReportEventAndSourceAsync
[93]	[0x00007FF80AB94340]	ExpInterlockedPopEntrySListEnd
[94]	[0x00007FF80AB9431C]	ExpInterlockedPopEntrySListFault
[95]	[0x00007FF80AB942DC]	ExpInterlockedPopEntrySListResume
[96]	[0x00007FF80AB95040]	KiRaiseUserExceptionDispatcher
[97]	[0x00007FF80AB948C0]	KiUserApcDispatcher
[98]	[0x00007FF80AB94D40]	KiUserCallbackDispatcher
[99]	[0x00007FF80AB94E80]	KiUserExceptionDispatcher
[100]	[0x00007FF80AF15400]	KiUserInvertedFunctionTable
[101]	[0x00007FF80A991E80]	LdrAccessResource
[102]	[0x00007FF80AB3F380]	LdrAddDllDirectory
[103]	[0x00007FF80AAE0440]	LdrAddLoadAsDataTable
[104]	[0x00007FF80A950500]	LdrAddRefDll
[105]	[0x00007FF80AC3D480]	LdrAppxHandleIntegrityFailure
[106]	[0x00007FF80AC42C00]	LdrCallEnclave
[107]	[0x00007FF80A9DD480]	LdrControlFlowGuardEnforced
[108]	[0x00007FF80AC42C40]	LdrCreateEnclave
[109]	[0x00007FF80AC43080]	LdrDeleteEnclave
[110]	[0x00007FF80A94BDC0]	LdrDisableThreadCalloutsForDll
[111]	[0x00007FF80AC92D80]	LdrEnumResources
[112]	[0x00007FF80AA8B700]	LdrEnumerateLoadedModules
[113]	[0x00007FF80AB22D80]	LdrFastFailInLoaderCallout
[114]	[0x00007FF80AA5E780]	LdrFindEntryForAddress
[115]	[0x00007FF80AC938C0]	LdrFindResourceDirectory_U
[116]	[0x00007FF80AB16340]	LdrFindResourceEx_U
[117]	[0x00007FF80AAD5A40]	LdrFindResource_U
[118]	[0x00007FF80AB36880]	LdrFlushAlternateResourceModules
[119]	[0x00007FF80AB0E3C0]	LdrGetDllDirectory
[120]	[0x00007FF80A950900]	LdrGetDllFullName
[121]	[0x00007FF80A96A1C0]	LdrGetDllHandle
[122]	[0x00007FF80AAE5C40]	LdrGetDllHandleByMapping
[123]	[0x00007FF80AAF02C0]	LdrGetDllHandleByName
[124]	[0x00007FF80A96A280]	LdrGetDllHandleEx
[125]	[0x00007FF80A955140]	LdrGetDllPath
[126]	[0x00007FF80AC47980]	LdrGetFailureData
[127]	[0x00007FF80AC93940]	LdrGetFileNameFromLoadAsDataTable
[128]	[0x00007FF80AB21F00]	LdrGetKnownDllSectionHandle
[129]	[0x00007FF80AB19300]	LdrGetProcedureAddress
[130]	[0x00007FF80AAC4080]	LdrGetProcedureAddressEx
[131]	[0x00007FF80A9CF700]	LdrGetProcedureAddressForCaller
[132]	[0x00007FF80AC51100]	LdrInitShimEngineDynamic
[133]	[0x00007FF80AC432C0]	LdrInitializeEnclave
[134]	[0x00007FF80AAE7040]	LdrInitializeThunk
[135]	[0x00007FF80AC479C0]	LdrIsModuleSxsRedirected
[136]	[0x00007FF80AB09200]	LdrLoadAlternateResourceModule
[137]	[0x00007FF80A9E3A80]	LdrLoadAlternateResourceModuleEx
[138]	[0x00007FF80A96A840]	LdrLoadDll
[139]	[0x00007FF80AC43940]	LdrLoadEnclaveModule
[140]	[0x00007FF80AB06AC0]	LdrLockLoaderLock
[141]	[0x00007FF80AC963C0]	LdrOpenImageFileOptionsKey
[142]	[0x00007FF80AB148C0]	LdrProcessInitializationComplete
[143]	[0x00007FF80AC9EB40]	LdrProcessRelocationBlock
[144]	[0x00007FF80AC9EC00]	LdrProcessRelocationBlockEx
[145]	[0x00007FF80AAFCF00]	LdrQueryImageFileExecutionOptions
[146]	[0x00007FF80AAFD000]	LdrQueryImageFileExecutionOptionsEx
[147]	[0x00007FF80AAFD280]	LdrQueryImageFileKeyOption
[148]	[0x00007FF80AC48180]	LdrQueryModuleServiceTags
[149]	[0x00007FF80AC4A180]	LdrQueryOptionalDelayLoadedAPI
[150]	[0x00007FF80A9150C0]	LdrQueryProcessModuleInformation
[151]	[0x00007FF80AB23C00]	LdrRegisterDllNotification
[152]	[0x00007FF80AB40FC0]	LdrRemoveDllDirectory
[153]	[0x00007FF80AAE2340]	LdrRemoveLoadAsDataTable
[154]	[0x00007FF80AC9FF80]	LdrResFindResource
[155]	[0x00007FF80AA65080]	LdrResFindResourceDirectory
[156]	[0x00007FF80AA70380]	LdrResGetRCConfig
[157]	[0x00007FF80AB39340]	LdrResRelease
[158]	[0x00007FF80AA652C0]	LdrResSearchResource
[159]	[0x00007FF80A950E00]	LdrResolveDelayLoadedAPI
[160]	[0x00007FF80AC4A480]	LdrResolveDelayLoadsFromDll
[161]	[0x00007FF80A9E3180]	LdrRscIsTypeExist
[162]	[0x00007FF80AB21EC0]	LdrSetAppCompatDllRedirectionCallback
[163]	[0x00007FF80AB11740]	LdrSetDefaultDllDirectories
[164]	[0x00007FF80AB11840]	LdrSetDllDirectory
[165]	[0x00007FF80AB20780]	LdrSetDllManifestProber
[166]	[0x00007FF80AC49400]	LdrSetImplicitPathOptions
[167]	[0x00007FF80AB416C0]	LdrSetMUICacheType
[168]	[0x00007FF80AA8BE80]	LdrShutdownProcess
[169]	[0x00007FF80A96D140]	LdrShutdownThread
[170]	[0x00007FF80AB12300]	LdrStandardizeSystemPath
[171]	[0x00007FF80AF14BC0]	LdrSystemDllInitBlock
[172]	[0x00007FF80AABDF40]	LdrUnloadAlternateResourceModule
[173]	[0x00007FF80AABDF80]	LdrUnloadAlternateResourceModuleEx
[174]	[0x00007FF80A94EFC0]	LdrUnloadDll
[175]	[0x00007FF80AB0A480]	LdrUnlockLoaderLock
[176]	[0x00007FF80AC495C0]	LdrUnregisterDllNotification
[177]	[0x00007FF80AC8AC80]	LdrUpdatePackageSearchPath
[178]	[0x00007FF80AC49880]	LdrVerifyImageMatchesChecksum
[179]	[0x00007FF80AB3C580]	LdrVerifyImageMatchesChecksumEx
[180]	[0x00007FF80AA6E340]	LdrpResGetMappingSize
[181]	[0x00007FF80AA68C00]	LdrpResGetResourceDirectory
[182]	[0x00007FF80AD4F400]	MD4Final
[183]	[0x00007FF80AD4F740]	MD4Init
[184]	[0x00007FF80AD50E40]	MD4Update
[185]	[0x00007FF80AA84C80]	MD5Final
[186]	[0x00007FF80AB08240]	MD5Init
[187]	[0x00007FF80AA84FC0]	MD5Update
[188]	[0x00007FF80AEB5F30]	NlsAnsiCodePage
[189]	[0x00007FF80AEC5C60]	NlsMbCodePageTag
[190]	[0x00007FF80AEC5B88]	NlsMbOemCodePageTag
[191]	[0x00007FF80AB85480]	NtAcceptConnectPort
[192]	[0x00007FF80AB85380]	NtAccessCheck
[193]	[0x00007FF80AB86800]	NtAccessCheckAndAuditAlarm
[194]	[0x00007FF80AB884C0]	NtAccessCheckByType
[195]	[0x00007FF80AB88000]	NtAccessCheckByTypeAndAuditAlarm
[196]	[0x00007FF80AB88540]	NtAccessCheckByTypeResultList
[197]	[0x00007FF80AB885C0]	NtAccessCheckByTypeResultListAndAuditAlarm
[198]	[0x00007FF80AB88640]	NtAccessCheckByTypeResultListAndAuditAlarmByHandle
[199]	[0x00007FF80AB886C0]	NtAcquireCrossVmMutant
[200]	[0x00007FF80AB88740]	NtAcquireProcessActivityReference
[201]	[0x00007FF80AB87700]	NtAddAtom
[202]	[0x00007FF80AB887C0]	NtAddAtomEx
[203]	[0x00007FF80AB88840]	NtAddBootEntry
[204]	[0x00007FF80AB888C0]	NtAddDriverEntry
[205]	[0x00007FF80AB88940]	NtAdjustGroupsToken
[206]	[0x00007FF80AB87400]	NtAdjustPrivilegesToken
[207]	[0x00007FF80AB889C0]	NtAdjustTokenClaimsAndDeviceGroups
[208]	[0x00007FF80AB88A40]	NtAlertResumeThread
[209]	[0x00007FF80AB88AC0]	NtAlertThread
[210]	[0x00007FF80AB88B40]	NtAlertThreadByThreadId
[211]	[0x00007FF80AB88BC0]	NtAllocateLocallyUniqueId
[212]	[0x00007FF80AB88C40]	NtAllocateReserveObject
[213]	[0x00007FF80AB88CC0]	NtAllocateUserPhysicalPages
[214]	[0x00007FF80AB88D40]	NtAllocateUserPhysicalPagesEx
[215]	[0x00007FF80AB88DC0]	NtAllocateUuids
[216]	[0x00007FF80AB85F80]	NtAllocateVirtualMemory
[217]	[0x00007FF80AB88E40]	NtAllocateVirtualMemoryEx
[218]	[0x00007FF80AB88EC0]	NtAlpcAcceptConnectPort
[219]	[0x00007FF80AB88F40]	NtAlpcCancelMessage
[220]	[0x00007FF80AB88FC0]	NtAlpcConnectPort
[221]	[0x00007FF80AB89040]	NtAlpcConnectPortEx
[222]	[0x00007FF80AB890C0]	NtAlpcCreatePort
[223]	[0x00007FF80AB89140]	NtAlpcCreatePortSection
[224]	[0x00007FF80AB891C0]	NtAlpcCreateResourceReserve
[225]	[0x00007FF80AB89240]	NtAlpcCreateSectionView
[226]	[0x00007FF80AB892C0]	NtAlpcCreateSecurityContext
[227]	[0x00007FF80AB89340]	NtAlpcDeletePortSection
[228]	[0x00007FF80AB893C0]	NtAlpcDeleteResourceReserve
[229]	[0x00007FF80AB89440]	NtAlpcDeleteSectionView
[230]	[0x00007FF80AB894C0]	NtAlpcDeleteSecurityContext
[231]	[0x00007FF80AB89540]	NtAlpcDisconnectPort
[232]	[0x00007FF80AB895C0]	NtAlpcImpersonateClientContainerOfPort
[233]	[0x00007FF80AB89640]	NtAlpcImpersonateClientOfPort
[234]	[0x00007FF80AB896C0]	NtAlpcOpenSenderProcess
[235]	[0x00007FF80AB89740]	NtAlpcOpenSenderThread
[236]	[0x00007FF80AB897C0]	NtAlpcQueryInformation
[237]	[0x00007FF80AB89840]	NtAlpcQueryInformationMessage
[238]	[0x00007FF80AB898C0]	NtAlpcRevokeSecurityContext
[239]	[0x00007FF80AB89940]	NtAlpcSendWaitReceivePort
[240]	[0x00007FF80AB899C0]	NtAlpcSetInformation
[241]	[0x00007FF80AB87980]	NtApphelpCacheControl
[242]	[0x00007FF80AB89A40]	NtAreMappedFilesTheSame
[243]	[0x00007FF80AB89AC0]	NtAssignProcessToJobObject
[244]	[0x00007FF80AB89B40]	NtAssociateWaitCompletionPacket
[245]	[0x00007FF80AB89BC0]	NtCallEnclave
[246]	[0x00007FF80AB85600]	NtCallbackReturn
[247]	[0x00007FF80AB881C0]	NtCancelIoFile
[248]	[0x00007FF80AB89C40]	NtCancelIoFileEx
[249]	[0x00007FF80AB89CC0]	NtCancelSynchronousIoFile
[250]	[0x00007FF80AB883C0]	NtCancelTimer
[251]	[0x00007FF80AB89D40]	NtCancelTimer2
[252]	[0x00007FF80AB89DC0]	NtCancelWaitCompletionPacket
[253]	[0x00007FF80AB87280]	NtClearEvent
[254]	[0x00007FF80AB85B00]	NtClose
[255]	[0x00007FF80AB87100]	NtCloseObjectAuditAlarm
[256]	[0x00007FF80AB89E40]	NtCommitComplete
[257]	[0x00007FF80AB89EC0]	NtCommitEnlistment
[258]	[0x00007FF80AB89F40]	NtCommitRegistryTransaction
[259]	[0x00007FF80AB89FC0]	NtCommitTransaction
[260]	[0x00007FF80AB8A040]	NtCompactKeys
[261]	[0x00007FF80AB8A0C0]	NtCompareObjects
[262]	[0x00007FF80AB8A140]	NtCompareSigningLevels
[263]	[0x00007FF80AB8A1C0]	NtCompareTokens
[264]	[0x00007FF80AB8A240]	NtCompleteConnectPort
[265]	[0x00007FF80AB8A2C0]	NtCompressKey
[266]	[0x00007FF80AB8A340]	NtConnectPort
[267]	[0x00007FF80AB87500]	NtContinue
[268]	[0x00007FF80AB8A3C0]	NtContinueEx
[269]	[0x00007FF80AB8A440]	NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
[270]	[0x00007FF80AB8A4C0]	NtCopyFileChunk
[271]	[0x00007FF80AB8A540]	NtCreateCrossVmEvent
[272]	[0x00007FF80AB8A5C0]	NtCreateCrossVmMutant
[273]	[0x00007FF80AB8A640]	NtCreateDebugObject
[274]	[0x00007FF80AB8A6C0]	NtCreateDirectoryObject
[275]	[0x00007FF80AB8A740]	NtCreateDirectoryObjectEx
[276]	[0x00007FF80AB8A7C0]	NtCreateEnclave
[277]	[0x00007FF80AB8A840]	NtCreateEnlistment
[278]	[0x00007FF80AB87780]	NtCreateEvent
[279]	[0x00007FF80AB8A8C0]	NtCreateEventPair
[280]	[0x00007FF80AB87E00]	NtCreateFile
[281]	[0x00007FF80AB8A940]	NtCreateIRTimer
[282]	[0x00007FF80AB8A9C0]	NtCreateIoCompletion
[283]	[0x00007FF80AB8AA40]	NtCreateJobObject
[284]	[0x00007FF80AB8AAC0]	NtCreateJobSet
[285]	[0x00007FF80AB86200]	NtCreateKey
[286]	[0x00007FF80AB8AB40]	NtCreateKeyTransacted
[287]	[0x00007FF80AB8ABC0]	NtCreateKeyedEvent
[288]	[0x00007FF80AB8AC40]	NtCreateLowBoxToken
[289]	[0x00007FF80AB8ACC0]	NtCreateMailslotFile
[290]	[0x00007FF80AB8AD40]	NtCreateMutant
[291]	[0x00007FF80AB8ADC0]	NtCreateNamedPipeFile
[292]	[0x00007FF80AB8AE40]	NtCreatePagingFile
[293]	[0x00007FF80AB8AEC0]	NtCreatePartition
[294]	[0x00007FF80AB8AF40]	NtCreatePort
[295]	[0x00007FF80AB8AFC0]	NtCreatePrivateNamespace
[296]	[0x00007FF80AB8B040]	NtCreateProcess
[297]	[0x00007FF80AB87A00]	NtCreateProcessEx
[298]	[0x00007FF80AB8B0C0]	NtCreateProfile
[299]	[0x00007FF80AB8B140]	NtCreateProfileEx
[300]	[0x00007FF80AB8B1C0]	NtCreateRegistryTransaction
[301]	[0x00007FF80AB8B240]	NtCreateResourceManager
[302]	[0x00007FF80AB87880]	NtCreateSection
[303]	[0x00007FF80AB8B2C0]	NtCreateSectionEx
[304]	[0x00007FF80AB8B340]	NtCreateSemaphore
[305]	[0x00007FF80AB8B3C0]	NtCreateSymbolicLinkObject
[306]	[0x00007FF80AB87A80]	NtCreateThread
[307]	[0x00007FF80AB8B440]	NtCreateThreadEx
[308]	[0x00007FF80AB8B4C0]	NtCreateTimer
[309]	[0x00007FF80AB8B540]	NtCreateTimer2
[310]	[0x00007FF80AB8B5C0]	NtCreateToken
[311]	[0x00007FF80AB8B640]	NtCreateTokenEx
[312]	[0x00007FF80AB8B6C0]	NtCreateTransaction
[313]	[0x00007FF80AB8B740]	NtCreateTransactionManager
[314]	[0x00007FF80AB8B7C0]	NtCreateUserProcess
[315]	[0x00007FF80AB8B840]	NtCreateWaitCompletionPacket
[316]	[0x00007FF80AB8B8C0]	NtCreateWaitablePort
[317]	[0x00007FF80AB8B940]	NtCreateWnfStateName
[318]	[0x00007FF80AB8B9C0]	NtCreateWorkerFactory
[319]	[0x00007FF80AB8BA40]	NtDebugActiveProcess
[320]	[0x00007FF80AB8BAC0]	NtDebugContinue
[321]	[0x00007FF80AB86D80]	NtDelayExecution
[322]	[0x00007FF80AB8BB40]	NtDeleteAtom
[323]	[0x00007FF80AB8BBC0]	NtDeleteBootEntry
[324]	[0x00007FF80AB8BC40]	NtDeleteDriverEntry
[325]	[0x00007FF80AB8BCC0]	NtDeleteFile
[326]	[0x00007FF80AB8BD40]	NtDeleteKey
[327]	[0x00007FF80AB8BDC0]	NtDeleteObjectAuditAlarm
[328]	[0x00007FF80AB8BE40]	NtDeletePrivateNamespace
[329]	[0x00007FF80AB8BEC0]	NtDeleteValueKey
[330]	[0x00007FF80AB8BF40]	NtDeleteWnfStateData
[331]	[0x00007FF80AB8BFC0]	NtDeleteWnfStateName
[332]	[0x00007FF80AB85700]	NtDeviceIoControlFile
